"table_schema","table_name"
"public","apex_class"
"public","app"
"public","app_permissions"
"public","approval_processes"
"public","audit_trail_track"
"public","audit_trails"
"public","auth_group"
"public","auth_group_permissions"
"public","auth_permission"
"public","call_logs"
"public","channel"
"public","columns_metadata"
"public","component"
"public","connected_app"
"public","custom_metadata"
"public","custom_setting"
"public","customers"
"public","dashboard"
"public","django_admin_log"
"public","django_celery_beat_clockedschedule"
"public","django_celery_beat_crontabschedule"
"public","django_celery_beat_intervalschedule"
"public","django_celery_beat_periodictask"
"public","django_celery_beat_periodictasks"
"public","django_celery_beat_solarschedule"
"public","django_content_type"
"public","django_migrations"
"public","django_session"
"public","duplicate_rule"
"public","email_templates"
"public","facebook_lead"
"public","field_history_log"
"public","field_permissions"
"public","field_tracking_config"
"public","fields"
"public","file"
"public","flows"
"public","group_assignment_tracker"
"public","hsitory"
"public","import_wizard"
"public","invoice_items"
"public","invoices"
"public","landing_numbers"
"public","layout_assignment"
"public","lead_capture"
"public","lightning_pages"
"public","listviews"
"public","matching_rule"
"public","message"
"public","named_credential"
"public","node"
"public","object"
"public","object_permissions"
"public","opportunity_lineitem"
"public","owd"
"public","package"
"public","page_layouts"
"public","path_builder"
"public","permission_sets"
"public","process_builders"
"public","products"
"public","profile"
"public","regions"
"public","remote_site_setting"
"public","reports"
"public","roles"
"public","sales"
"public","salesforce_metadata"
"public","salesforce_settings"
"public","salesforce_sync"
"public","search_layouts"
"public","session_log"
"public","setup"
"public","sf_integration_lead"
"public","sharing_records"
"public","sharing_rules"
"public","tab_permissions"
"public","tables_metadata"
"public","tabs"
"public","task"
"public","telephony_config"
"public","theme"
"public","user_group"
"public","user_group_users"
"public","user_login_history"
"public","users"
"public","users_user_permissions"
"public","webhook"
"public","workflow"
"public","workflow_edge"
"public","workflow_node"
"public","workflow_rules"
